What is the highest brass instrument?,1,Trumpet
What period was between 1600 and 1750?,3,Baroque
How many notes are in an octave?,2,12
What instrument does the leader of an orchestra play?,2,Violin
What is the full name for the quiet dynamic?,1,piano
In 4/4 time signature there are 4 _____ in a bar.,2,crotchets
Who wrote the piece "Superstition"?,3,Stevie Wonder
What is it called when one musician plays on their own?,2,Solo
What is the lowest string instrument?,1,Double Bass
What band released "Yellow Submarine"?,2,The Beatles
How many orchestral brass instruments are there?,2,4
What is the tonality that is "happy"?,1,Major
